picUrl,name,profileLink,department,deptLink
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Bing Cui,https://pureportal.coventry.ac.uk/en/persons/bing-cui,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
https://pureportal.coventry.ac.uk//files-asset/21490197/Mugshot.JPG,Tom Cullen,https://pureportal.coventry.ac.uk/en/persons/tom-cullen,"Centre for Physical Activity, Sport and Exercise Sciences",https://pureportal.coventry.ac.uk/en/organisations/centre-for-physical-activity-sport-and-exercise-sciences
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Sian Cunningham,https://pureportal.coventry.ac.uk/en/persons/sian-cunningham,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
https://pureportal.coventry.ac.uk//files-asset/24708523/OC_WMG_Staff_Photo_cropped_more.jpg,Oliver Curnick,https://pureportal.coventry.ac.uk/en/persons/oliver-curnick,Centre for E-Mobility and Clean Growth,https://pureportal.coventry.ac.uk/en/organisations/centre-for-e-mobility-and-clean-growth
https://pureportal.coventry.ac.uk//files-asset/12729098/David_Curran_Profile_large.png,David Curran,https://pureportal.coventry.ac.uk/en/persons/david-curran,"Centre for Trust, Peace and Social Relations",https://pureportal.coventry.ac.uk/en/organisations/centre-for-trust-peace-and-social-relations-3
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Michele Curran,https://pureportal.coventry.ac.uk/en/persons/michele-curran,International Centre for Transformational Entrepreneurship,https://pureportal.coventry.ac.uk/en/organisations/international-centre-for-transformational-entrepreneurship-2
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Charlton Cussans,https://pureportal.coventry.ac.uk/en/persons/charlton-cussans,School of Humanities,https://pureportal.coventry.ac.uk/en/organisations/school-of-humanities
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Emma Cygan,https://pureportal.coventry.ac.uk/en/persons/emma-cygan,School of Mechanical Engineering,https://pureportal.coventry.ac.uk/en/organisations/school-of-mechanical-engineering
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Funke Dacosta-Salu,https://pureportal.coventry.ac.uk/en/persons/funke-dacosta-salu,Centre for Manufacturing and Materials,https://pureportal.coventry.ac.uk/en/organisations/centre-for-manufacturing-and-materials
https://pureportal.coventry.ac.uk//files-asset/45292492/IMG_3509.jpg,Katie da Cunha Lewin,https://pureportal.coventry.ac.uk/en/persons/katie-da-cunha-lewin,School of Humanities,https://pureportal.coventry.ac.uk/en/organisations/school-of-humanities
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Adeboye Dada,https://pureportal.coventry.ac.uk/en/persons/adeboye-dada,Research Centre for Business in Society,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-business-in-society-2
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Deneise Dadd,https://pureportal.coventry.ac.uk/en/persons/deneise-dadd,School of Strategy and Leadership,https://pureportal.coventry.ac.uk/en/organisations/school-of-strategy-and-leadership
